Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1-2	s10b			0	Who were the two wives of Elkanah?	The wives of Elkanah were Hannah and Peninnah.
1:2	hjmd			0	How many children did Hannah have at that time?	At that time Hannah had no children.
1:5	vmrz			0	Why did Elkanah give twice as much meat to Hannah?	He gave a double portion to Hannah because he loved her.
1:6	dka6			0	Why did Hannah’s adversary provoke her?	She provoked Hannah in order to make her upset, because Yahweh had closed her womb.
1:9-10	wvqr			0	What did Hannah do because she was so sorrowful about not having children?	She went to the house of Yahweh, and she cried very sorrowfully as she prayed to Yahweh.
1:11	wm8k			0	What did Hannah vow to Yahweh?	Hannah vowed that if Yahweh would give her a son, she would give him to Yahweh and they would never cut his hair.
1:12-14	iptr			0	Because Hannah was speaking to Yahweh from her heart, what did Eli the priest think about her actions?	Eli saw Hannah’s lips moving but did not hear her voice, so he thought she was drunk.
1:15-16	jd1k			0	What did Hannah assure Eli she was doing?	Hannah assured Eli that she was not drunk but was talking to Yahweh because someone made her feel very badly.
1:17-18	v2fu			0	What did Eli say to Hannah that caused her to go on her way, eat, and no longer feel sad?	Eli told her to go in peace and said that he hoped the God of Israel would grant her request.
1:20	fogg			0	When Hannah conceived and gave birth to a son, what did she name him?	Hannah named her son Samuel because she had requested him from Yahweh.
1:21-23	a19c			0	Why did Hannah not go with her husband to the house of Yahweh for the yearly sacrifice?	She did not go because she was waiting until her son was weaned.
1:24-25	jwfq			0	What offerings did Hannah bring with her when she brought her son to the house of Yahweh?	Hannah brought three bulls, an ephah of flour, and a skin of wine.
1:26-28	ftp6			0	What did Hannah present to Yahweh?	Hannah presented her son to Yahweh for as long as he would live.
2:1	tume			0	Why did Hannah laugh at her enemies?	Hannah laughed because she rejoiced in Yahweh’s salvation.
2:3	o5f2			0	Why does Hannah say that people should not boast or speak arrogantly?	People should not boast or speak arrogantly because Yahweh is a God of knowledge, and by him actions are weighed.
2:5	vseh			0	In Hannah’s song, who is the one who is unable to have more children?	The woman who had many children before is not able to have any more.
2:6	u8yn			0	Who decides death and life, or who goes down to Sheol or is raised up?	Yahweh is the one who decides death and life, and who causes people to go down to Sheol or to come up from there.
2:7	ec6e			0	Who makes people poor or rich?	Yahweh makes people poor, and he makes them rich.
2:8	io4k			0	Who raises up the poor and lifts the needy to sit in a seat of honor?	Yahweh raises them up to sit in a seat of honor.
2:9	kurn			0	Who does Hannah say will protect the feet of his faithful people and silence the wicked in darkness?	Hannah says that Yahweh will guard the feet of his faithful people and will silence the wicked.
2:10	y2mu			0	Who will judge the ends of the earth and give strength to his king?	Yahweh will judge the ends of the earth and give strength to his king.
2:11	pjpt			0	What child served Yahweh in the presence of Eli the priest?	Samuel served Yahweh in the presence of Eli the priest.
2:12	ecfh			0	Whose sons were wicked men who did not know Yahweh?	Eli the priest’s sons did very bad things.
2:13-14	hxiz			0	What was the custom of the priests with the people at the time of sacrifice?	The custom was for the priest’s servant to come with a three-pronged fork while the meat was boiling and take whatever the fork brought up for the priest.
2:15-16	fd21			0	What evil thing did Eli’s sons have their servant do?	They had their servant demand raw meat for the priest before the fat was burned as an offering to Yahweh, and had him take it by force if the person refused.
2:17	jrb8			0	Why was the sin of Eli’s sons so great?	Their sin was great before Yahweh because the men were treating very disrespectfully the offerings that people were bringing to Yahweh.
2:18-19	ta1h			0	What would Samuel’s mother make for him from year to year to clothe him?	She would make him a small robe each year.
2:20	jvrr			0	How would Eli bless Elkanah and his wife?	Eli blessed them by asking Yahweh to give them more children from Hannah.
2:21	vu4i			0	What was Yahweh’s response to Eli’s prayer for Samuel’s parents to have more children?	Yahweh helped Hannah, and she bore three more sons and two daughters.
2:23-24	qmuh			0	What did Eli say to his sons when he heard evil reports about them?	Eli told his sons that the report he was hearing from Yahweh’s people about their evil deeds was not good. He told them to stop doing what they were doing.
2:25	o40n			0	Why did Eli’s sons not listen to his voice?	Eli’s sons did not listen to his voice because Yahweh desired to make them die.
2:26	r7g1			0	Who grew up and was good in the sight of Yahweh and also with men?	Samuel grew up and was good in the sight of Yahweh and with men.
2:27-28	nj86			0	Who told Eli that Yahweh chose Eli’s ancestors out of all the tribes of Israel to be Yahweh’s priest?	A man of God told Eli that Yahweh had chosen his ancestors.
2:29	m8w2			0	How had Eli and his sons scorned Yahweh’s sacrifices and offerings?	They scorned the sacrifices and offerings by honoring his sons above Yahweh and fattening themselves on the best parts of offerings.
2:33	cp03			0	What did Yahweh tell Eli would happen to the men in his family?	Yahweh told Eli that all the men born in his family would die young.
2:34	fi2d			0	What did Yahweh say would be a sign to Eli that his prophecy would come true?	The sign would be that both of his sons would die on the same day.
2:35	au47			0	Who will walk before Yahweh’s faithful priest always?	Yahweh has chosen another man who will serve him faithfully and continually be a helper to the king whom Yahweh will appoint.
2:36	o63g			0	Why will everyone left in Eli’s family come and bow down to the faithful priest?	They will ask him to allow them to work with the other priests so that they can have food to eat.
3:2-4	qi73			0	What was Samuel’s reply when he heard Yahweh call to him as he was lying down?	Samuel replied that he was ready to do whatever you ask.
3:5	s4g8			0	What did Eli tell Samuel to do when Samuel ran to him?	Eli said that he did not call Samuel and told him to go lie down again.
3:7	ocks			0	What had not yet been revealed to Samuel?	The word of Yahweh had not yet been revealed to Samuel.
3:8	yooi			0	What did Eli realize after the third time that Samuel came to him?	Eli realized that it was Yahweh who had been calling Samuel.
3:9	x3xz			0	What did Eli tell Samuel to say if he was called again?	Eli told Samuel to say that Yahweh should speak, because his servant was listening.
3:11	xner			0	What did Yahweh say would happen to the ears of everyone when they heard what he was going to do?	Yahweh said that the ears of everyone who heard it would tingle.
3:13	ed3v			0	What had Eli’s sons brought upon themselves?	Eli’s sons had brought a curse upon themselves.
