Reference,ID,Tags,Quote,Occurrence,Question,Response
1:1,wxi8,,,0,What problem did King David have when he became old?,"Although they covered King David with blankets, he could not get warm."
1:4,ox0q,,,0,"Although Abishag was very beautiful and served the king by caring for him, what did David not do with her?",The king did not have sexual relations with Abishag.
1:5,ii0a,,,0,How did Adonijah the son of Haggith exalt himself?,"Adonijah wanted to be king, so he prepared for himself chariots and horses and 50 men to run ahead of him."
1:6,t9zi,,,0,Did King David discipline his son Adonijah and correct his actions?,"No, King David had never rebuked him for anything that he did."
1:7,v31o,,,0,Who were the two men who followed and helped Adonijah?,Joab and Abiathar helped Adonijah in his plot to become king.
1:9-10,o7b7,,,0,Who did Adonijah not invite to his sacrifice?,"Adonijah did not invite Nathan the prophet, Benaiah, the mighty men, or his brother Solomon."
1:11-12,k670,,,0,Who warned Bathsheba the mother of Solomon that Adonijah had become king and that her life was in danger?,Nathan the prophet warned Bathsheba that her life and the life of her son Solomon were both in danger.
1:13,fog7,,,0,What questions did Nathan tell Bathsheba to ask King David?,Nathan the prophet told Bathsheba to ask David whether he promised her that Solomon would be king and to ask why Adonijah is trying to be the next king.
1:17,oaez,,,0,What promise had King David sworn to Bathsheba?,David had sworn to Bathsheba that her son Solomon would be king after David died.
1:18-19,s4j1,,,0,What did Bathsheba tell King David that Adonijah had done?,"Bathsheba told him that Adonijah had become king without David knowing it, and that he had sacrificed animals in abundance."
1:21,wabk,,,0,What did Bathsheba fear would happen when David died?,She feared that she and her son Solomon would be regarded as if we had done something wrong.
1:24,e2t9,,,0,What question did Nathan the prophet ask of King David?,Nathan asked him if David had said that Adonijah would reign after him and sit on his throne as king.
1:24-25,z0s0,,,0,Why did Nathan the prophet come to visit King David?,Nathan the prophet came to inform King David that Adonijah was setting himself up as king without David’s knowledge.
1:29-30,tdqt,,,0,What oath did King David make to Bathsheba?,David made an oath that Solomon the son of Bathsheba would reign after him and sit on his throne in David’s place.
1:32-34,x5oc,,,0,"What did King David tell Zadok, Nathan, and Benaiah to do for his son Solomon?",King David told his three loyal subjects to take Solomon to Gihon on David’s own mule and to anoint him as king over Israel.
1:39-40,l17k,,,0,How did the people respond when Zadok anointed Solomon as king?,The people said “Long live King Solomon!” and rejoiced loudly.
1:51,te9w,,,0,What did Adonijah do when he heard the news that David had made Solomon the king of Israel?,"Adonijah was afraid of Solomon, and went into the temple of God and took hold of the horns of the altar."
1:53,pl8u,,,0,What did King Solomon tell Adonijah to do when they brought him before Solomon?,King Solomon told Adonijah to go to his house.
2:3,ay0g,,,0,What did King David tell his son Solomon?,David told his son to obey everything that God directed and instructed them to do.
